text,date,No_of_likes,No_of_tweets
"In a world where you can be anything, be kind #tusker @EABL_PLC",2023-08-21 18:44:00+00:00,1,0
Hio imeandikwa EABL labda ni tablets za tusker,2023-08-21 13:12:00+00:00,1,0
For the great moments! @EABL_PLC #Tusker,2023-08-19 07:01:00+00:00,3,1
Ogopa sana...just be getting a proper johnie walker from the breweries(eabl)shop... Siku hizi hata tusker zinaundwa,2023-08-19 05:08:00+00:00,0,0
EABL should bring back Tusker Project Fame and do away Octobafest.,2023-08-18 16:17:00+00:00,2,2
@EABL_PLC @tuskerlite @TuskerMaltLager you are letting #FootballKE DOWN with this horrible pitch.  Ksh. 100M can totally change the face of #RuarakaComplex And improve our sport,2023-08-18 09:28:00+00:00,2,0
Drink only twice in week & avoid buying people... @StopDrinking4vr @EABL_PLC Fake liquor has come down especially Tusker & Whitecap...,2023-08-14 17:09:00+00:00,0,0
@EABL_PLC did you guys send over some #Tusker premium lager to Old Trafford for our fellow brother Onana?,2023-08-06 17:23:00+00:00,0,0
@EABL_PLC Tusker well marketed there,2023-08-06 16:27:00+00:00,0,0
"One big issue for EABL is demand elasticity. All factors held constant, a sharp increase in the price of, say Tusker, would lead to a decrease in the levels of its consumption.",2023-08-01 16:58:00+00:00,4,0
"@EABL_PLC Tusker FC Makes us equal,has no equal",2023-07-28 18:04:00+00:00,0,0
"[BUSINESS] EABL full-year profit drops by Sh3b as struggling Kenyans drink less: EABL, known for its flagship Tusker beer, saw its net earnings decline 20.8 per cent to Sh12.3 billion in the full-year period to .. https://www.standardmedia.co.ke/business/article/2001478202/eabl-full-year-profit-drops-by-sh3b-as-struggling-kenyans-drink-less",2023-07-28 12:46:00+00:00,1,0
FT Gor 3-0 Tusker Beer tatu please any EABL brand please #footballKE.,2023-07-24 10:07:00+00:00,0,1
"Kumbe through that website kuna Merch. Eabl have running shoes for 8k, they're yellow with the Tusker Logo. Imo, perfect gifts kwanza kwa wazungu.  Sisi kama Scan beverages, we have our own Merchandise you can put kwa mix but ours is free... a Hoodie. Hoodie + shoes 🔥🔥",2023-07-20 13:08:00+00:00,1,1
Ii yao ata si ya EABL. ni ya hio kampuni flani inajiita Kenyan Originals. Kamtungi ka keg ni ka 25 litres. Keg inaonja kama Tusker lite bana.,2023-07-20 11:18:00+00:00,1,1
I think @namewell is EABL employee you can't tell me that man is a tusker fan for free. #footballKE https://nitter.projectsegfau.lt/i/spaces/1BRJjZZyXjRJw,2023-07-19 06:45:00+00:00,2,1
@EABL_PLC one of your esteemed customers is very thirsty. Are there tusker lager left you ship them to London to quench some thirst. ACT FAST!,2023-07-15 08:49:00+00:00,0,0
@EABL_PLC  mnasema aje @tusker_fc,2023-07-12 18:15:00+00:00,0,0
"Issue is representation, do u feel represented supporting tusker and u don't work for eabl ? or Ulinzi na unachukia ma beast ? Most of these European clubs exist because of their local fan base who feel the team represents their region of residence or homeland.",2023-07-09 10:17:00+00:00,0,0
"😂😂 bruh Tusker tuko na quality stuff only, hata this transfer window tunaezakuchukua tukueke bench then side hustle yako tukupee kupanga crates pale EABL after match/training 😂😂😂",2023-07-06 08:38:00+00:00,0,1
"Back when sportpesa was sponsoring KPL & Gor+AFC, the govt shd have struck a deal with them(give them incentives) to give back to sports industry through building standard pitches for the 2 clubs,same for EABL/Tusker fc, KPA/Bandari. We wd be having atleast 4 standard pitches.",2023-07-05 04:51:00+00:00,1,0
"So all Muslims working for DHL (EABL transporter), hotels, banks, insurance companies, Tusker FC etc are all wrong. You guys, like Asmali, Moha etc are lucky you can choose jobs.",2023-07-01 06:53:00+00:00,1,0
"Football aside, Manchester United is among the worst managed businesses, How can a biz neglect her flagship biz Football and stadium(Old Trafford). It is like EABL neglecting Tusker or Apple neglecting IPhone.",2023-06-30 06:01:00+00:00,0,0
EABL Kisumu and Tusker - biomass power from burning organic waste that would otherwise be taken to landfills. The beer manufacturer is expected to use the waste of its production processes to fuel the facilities plants. https://www.businessdailyafrica.com/bd/corporate/companies/eabl-s-kisumu-and-nairobi-biomass-plants-almost-ready-3911644,2023-06-29 15:37:00+00:00,0,0
@EABL_PLC should ADOPT this ELEPHANT.  Good TUSKER advert right here!,2023-06-28 19:44:00+00:00,0,0
"For a team with a solid financial backing from its parent company, the giant, East African Breweries Limited (EABL), winning local titles can never be a true measure of success for Tusker FC. https://www.mozzartsport.co.ke/football/news/opinion-who-will-awaken-the-sleeping-giant-in-tusker-fc/31741",2023-06-28 11:07:00+00:00,1,0
"I have read @kisengemeshack1 work and let me tell you Maina, Bandari and KCB are the rich kids of our league while Tusker are orphans of EABL. But he also says red flags and green flag means different things. He has also sad Ambani record is story ya JABA #footballKE.",2023-06-26 21:44:00+00:00,6,2
"Wangapi wanakumbuka shindano la ' Tusker project fame,lililovuma Sana kati kati ya miaka ya 2000 chini ya udhamini wa Kampuni ya EABL Breweries Limited?Wangapi wanamkumbuka mshiriki Mmoja maarufu Sana Kwa jina Hemed kutoka Dar Tanzania? Kwa Sasa Hemed yupo wapi na Anafanya nini?",2023-06-25 19:21:00+00:00,1,0
@EABL_PLC a cold tusker lite for weekend manenos in Vasha @KCBGroup am depending on you to get there....then I can use your voom to settle any other bill,2023-06-22 14:03:00+00:00,0,0
You know.. The feeling....you don't wanna spend your money looking for the site of the Titanic.  Pop up some cold Tusker lite @EABL_PLC,2023-06-22 09:22:00+00:00,1,0
"She would later join EABL where we witnessed Carolyne's exceptional talents as she led in the crafting of East Africa's most beloved branded TV reality show, the Tusker Project Fame.",2023-06-20 08:01:00+00:00,0,1
Ati Tusker? 😂 😂 😂  Hao ni employees wa EABL,2023-06-17 11:39:00+00:00,0,0
@Lightroom @tusker_fc @EABL,2023-06-09 02:06:00+00:00,0,0
Nyayo National Stadium. EABL Tusker Ground,2023-06-08 08:41:00+00:00,1,2
🧤👏🏾👏🏾,2023-06-05 12:23:00+00:00,0,0
"Hello. You can visit our office in Ruaraka, EABL behind Garden city mall or if in town visit Urban apparels shop besides Nairobi Sports house. Contact Charles (Ruaraka)  on 0720245551 and Haron(Nairobi cbd) 0721419099. Costs 1500",2023-06-02 00:40:00+00:00,25,2
Where Bwana,2023-05-31 18:45:00+00:00,0,0
The plan is in place.,2023-05-31 18:28:00+00:00,1,1
EABL please work on that potato farm called Ruaraka Stadium.  1. Level the playing surface and plant quality grass (2 months is enough for germination)  2.  Build changing rooms 3. Work on VIP stand 4. Add a few stands to accommodate like 3-5k fans This won't cost more than 100M,2023-05-31 16:52:00+00:00,5,1
⚽️ Upping the ante ahead of our next fixture.  #KenyaMilele #Brewers4Life @TuskerLager | @EABL_PLC,2023-05-31 16:46:00+00:00,37,1
"Jambo @tusker_fc, how many retweets mrudi Kinoru Stadium 🏟 kama home ground for the 2023/24 season and beyond? @TuskerLager @EABL_PLC #KenyaMilele #Brewers4Life",2023-05-31 07:46:00+00:00,0,0
"The team used to be known as Kenya Breweries but rebranded to Tusker FC in 1999 to reduce clashes between the brands under KBL. Also, the company was rebranding to EABL so a change of team name also made sense.",2023-05-30 18:15:00+00:00,2,1
Tusker school bus donated by EABL,2023-05-30 09:31:00+00:00,1,1
🥇🔥,2023-05-30 04:33:00+00:00,0,0
Sa unataka aje?,2023-05-30 02:43:00+00:00,2,0
Huyu msee bwana alitupeana vs Uganda last year.,2023-05-29 18:38:00+00:00,0,1
Alipiga msee chenga safi hpo jana ikaninice sana.,2023-05-29 17:25:00+00:00,0,0
The whole season we've been in safe hands 👏🏾,2023-05-29 16:01:00+00:00,1,0
,2023-05-29 15:37:00+00:00,0,0
Bwire was superb on the Sticks yesterday with brilliant saves,2023-05-29 15:24:00+00:00,0,0
brewers for life,2023-05-29 14:51:00+00:00,0,0
Brick Wall 🧱,2023-05-29 14:50:00+00:00,0,0
My goal keeper❤️,2023-05-29 14:47:00+00:00,0,0
Man was really solid yesterday. 👏,2023-05-29 14:44:00+00:00,0,0
"13 games, 12 clean sheets, one goal conceded. Brian Bwire. 👏  #KenyaMilele #Brewers4Life | @TuskerLager | @EABL_PLC",2023-05-29 14:40:00+00:00,135,12
@TuskerLager | @EABL_PLC,2023-05-29 13:17:00+00:00,6,0
"You have no choice but to love the two coz one is EABL board chair, the other is the HR. Mko na choice kweli?",2023-05-29 10:27:00+00:00,1,0
Timeline loyas !! Mtu akipata tusker iko na a slice of potato ndani can you sue EABL?,2023-05-28 15:31:00+00:00,7,5
They are even faking EABL beers? Ukikunywa Tusker Mwea shauri yako.  The can is safer than hii ya chupa.,2023-05-28 09:50:00+00:00,14,7
"This is one of the reasons I prefer #eabl #kbl hosting shows, Sasa surely vvip na regular hakuna difference #tanyaentertainment what was that???? #RichieSpiceInKE hapanaaa, kwanza the loo situation #negative100000 #talia hoot hooot I miss tusker!!",2023-05-28 00:11:00+00:00,1,2
"Hello. You can visit our office in Ruaraka, EABL behind Garden city mall or if in town visit Urban apparels shop besides Nairobi Sports house. Contact Charles (Ruaraka)  on 0720245551 and Haron(Nairobi cbd) 0721419099. Costs 1500",2023-05-26 09:27:00+00:00,3,0
"How did you guys ascertain it is counterfeit, white cap and tusker are established brands, why just not close down EABL factories than extort and harass innocent business people.",2023-05-25 07:15:00+00:00,1,1
Tusker secondary school fc Bus donated by EABL #FootballKE,2023-05-24 11:58:00+00:00,17,4
We are coming to support Tusker na hao mafans wao watano na eabl's CSR budget😂,2023-05-24 05:43:00+00:00,1,1
They also need to spend more on Tusker as a club,2023-05-23 10:54:00+00:00,0,0
Hio storo ya our football huwa tunasema kila siku lakini hii yaa Tusker ndo tuko hapa,2023-05-23 10:53:00+00:00,0,0
"Drinking habits have changed greatly.Few years ago when I drank liberally, my good old Tusker was all the rage. Nobody drinks it anymore. Even Guinness is not common anymore. Don't even mention Pilsner, last time I saw it was like 10 years ago, literally!@eabl",2023-05-22 16:15:00+00:00,1,0
It's actually less than a PR budget @EABL_PLC @tuskerlite @tuskerlite @TuskerMaltLager is just not serious about football. Look at the pathetic grounds where Tusker plays,2023-05-22 14:32:00+00:00,1,1
Tusker has 14 fans @nyar_gero  included. If you think am joking kindly count. So let me explain it tusker has more player and technical bench team than all their fans in Kenya. Okay let me explain it futher they are a plastic team surviving on CSR budget at EABL #footballKE.,2023-05-22 14:16:00+00:00,34,27
"Tusker fanbase is a skeleton of it's former glory days. Wish eabl club invested as much as they do with other brand events kama social media. Thika town would stand still wherever there was a match back then, factories downsizing in Thika really affected the club.",2023-05-14 15:19:00+00:00,0,0
"Wishing you all a blessed Furahiday. Wa Aluta na wa Tusker, iwabambe vifiti.  First time jamming this faya tune with my brother @shamirtadeiya 🙌🏿🔥💯💃🏿🕺🏿 Stream ""Tusker Na Reggae"" on YT @TuskerMaltLager @EABL_PLC @OfficialEABL #kaziyashamir #bintiafrikamusic",2023-05-12 09:42:00+00:00,11,2
By the way is Kinoru govt managed? cos hadi wa leo sijawahi elewa,2023-05-08 12:39:00+00:00,1,0
"Look at kinoru stadium, zoom in the pitch, even your own compound can't be like that. What did the PS do about it after visiting @jmueke, where is the report.",2023-05-08 12:37:00+00:00,1,1
"Soon you guys will be playing your matches at complex with all that resource, you are just an entity for some individuals.",2023-05-08 12:26:00+00:00,0,0
The fact that they build this ki-structure juzi tu rather than using that space for hata stands or something tell you alot... zero plans for the team,2023-05-08 12:24:00+00:00,0,2
